device_id,device_type,location,installed_date
1,humidity,Zone_1,2022-02-01
2,pressure,Zone_2,2022-03-01
3,temperature,Zone_3,2022-04-01
4,humidity,Zone_4,2022-05-01
5,pressure,Zone_0,2022-06-01
6,temperature,Zone_1,2022-07-01
7,humidity,Zone_2,2022-08-01
8,pressure,Zone_3,2022-09-01
9,temperature,Zone_4,2022-10-01
10,humidity,Zone_0,2022-11-01
11,pressure,Zone_1,2022-12-01
12,temperature,Zone_2,2022-01-01
13,humidity,Zone_3,2022-02-01
14,pressure,Zone_4,2022-03-01
15,temperature,Zone_0,2022-04-01
16,humidity,Zone_1,2022-05-01
17,pressure,Zone_2,2022-06-01
18,temperature,Zone_3,2022-07-01
19,humidity,Zone_4,2022-08-01
20,pressure,Zone_0,2022-09-01
21,temperature,Zone_1,2022-10-01
22,humidity,Zone_2,2022-11-01
23,pressure,Zone_3,2022-12-01
24,temperature,Zone_4,2022-01-01
25,humidity,Zone_0,2022-02-01
26,pressure,Zone_1,2022-03-01
