task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
spec5	finished/pass	True	1.0	19	19		
lh5	finished/pass	False	0.92	12	13	bad_attestation	
spec6	finished/pass	False	0.95	19	20	bad_attestation	
test9	finished/pass	False	0.89	8	9	bad_attestation	
p5	finished/pass	False	0.93	14	15	bad_attestation	
cr4	finished/pass	True	1.0	16	16		
cross3	TIMEOUT/pass	True	1.0	10			
crypto1	finished/pass	False	0.9	9			
pipe3_stream_processing	finished/pass	True	1.0	10			
multi4	finished/pass	False	0.9	9	10	bad_attestation	
ir2	finished/pass	True	1.0	7	7		
api1	finished/pass	True	1.0	10	10		
