task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
spec5	finished/pass	True	1.0	19	19		
lh5	finished/pass	False	0.85	11	13	validate_fail;steps_out_of_order	
spec6	finished/pass	False	0.9	18	20	S3_ttl_fails;bad_attestation	
test9	finished/pass	False	0.89	8	9	bad_attestation	
p5	TIMEOUT/NO_ATTESTATION	False	0.93	14	15	bad_attestation	
cr4	TIMEOUT/NO_ATTESTATION	False	0.88	14	16	tests_failing;bad_attestation	
cross3	finished/pass	True	1.0	10			
crypto1	finished/EMPTY_VERDICT	True	1.0	10			
pipe3_stream_processing	finished/pass	True	1.0	10			
multi4	finished/pass	False	0.9	9	10	bad_attestation	
ir2	finished/NO_ATTESTATION	False	0.86	6	7	bad_attestation	
api1	finished/pass	True	1.0	10	10		
