task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
lh5	finished/pass	False	0.92	12	13	bad_attestation	
spec6	finished/pass	False	0.95	19	20	bad_attestation	
test9	finished/pass	False	0.89	8	9	bad_attestation	
p5	finished/pass	False	0.93	14	15	bad_attestation	
cr4	TIMEOUT/NO_ATTESTATION	False	0.94	15	16	tests_failing	
cross3	finished/pass	True	1.0	10			
crypto1	TIMEOUT/NO_ATTESTATION	True	1.0	10			
pipe3_stream_processing	TIMEOUT/NO_ATTESTATION	True	1.0	10			
multi4	TIMEOUT/NO_ATTESTATION	False	0.9	9	10	bad_attestation	
ir2	TIMEOUT/NO_ATTESTATION	True	1.0	7	7		
api1	TIMEOUT/NO_ATTESTATION	True	1.0	10	10		
spec5	recovered	True	1.0	19	19		
