reading_id,device_id,value,unit,timestamp
1,2,37.6,pct,2024-02-02T01:00:00
2,3,75.2,hPa,2024-03-03T02:00:00
3,4,12.8,C,2024-04-04T03:00:00
4,5,50.4,pct,2024-05-05T04:00:00
5,6,88.0,hPa,2024-06-06T05:00:00
6,7,25.6,C,2024-07-07T06:00:00
7,8,63.2,pct,2024-08-08T07:00:00
8,9,0.8,hPa,2024-09-09T08:00:00
9,10,38.4,C,2024-10-10T09:00:00
10,11,76.0,pct,2024-11-11T10:00:00
11,12,13.6,hPa,2024-12-12T11:00:00
12,13,51.2,C,2024-01-13T12:00:00
13,14,88.8,pct,2024-02-14T13:00:00
14,15,26.4,hPa,2024-03-15T14:00:00
15,16,64.0,C,2024-04-16T15:00:00
16,17,1.6,pct,2024-05-17T16:00:00
17,18,39.2,hPa,2024-06-18T17:00:00
18,19,76.8,C,2024-07-19T18:00:00
19,20,14.4,pct,2024-08-20T19:00:00
20,21,52.0,hPa,2024-09-21T20:00:00
21,22,89.6,C,2024-10-22T21:00:00
22,23,27.2,pct,2024-11-23T22:00:00
23,24,64.8,hPa,2024-12-24T23:00:00
24,25,2.4,C,2024-01-25T00:00:00
25,26,40.0,pct,2024-02-26T01:00:00
26,1,77.6,hPa,2024-03-27T02:00:00
27,2,15.2,C,2024-04-28T03:00:00
28,3,52.8,pct,2024-05-01T04:00:00
29,4,90.4,hPa,2024-06-02T05:00:00
30,5,28.0,C,2024-07-03T06:00:00
31,6,65.6,pct,2024-08-04T07:00:00
32,7,3.2,hPa,2024-09-05T08:00:00
33,8,40.8,C,2024-10-06T09:00:00
34,9,78.4,pct,2024-11-07T10:00:00
35,10,16.0,hPa,2024-12-08T11:00:00
36,11,53.6,C,2024-01-09T12:00:00
37,12,91.2,pct,2024-02-10T13:00:00
38,13,28.8,hPa,2024-03-11T14:00:00
39,14,66.4,C,2024-04-12T15:00:00
40,15,4.0,pct,2024-05-13T16:00:00
41,16,41.6,hPa,2024-06-14T17:00:00
42,17,79.2,C,2024-07-15T18:00:00
43,18,16.8,pct,2024-08-16T19:00:00
44,19,54.4,hPa,2024-09-17T20:00:00
45,20,92.0,C,2024-10-18T21:00:00
46,21,29.6,pct,2024-11-19T22:00:00
47,22,67.2,hPa,2024-12-20T23:00:00
48,23,4.8,C,2024-01-21T00:00:00
49,24,42.4,pct,2024-02-22T01:00:00
50,25,80.0,hPa,2024-03-23T02:00:00
51,26,17.6,C,2024-04-24T03:00:00
52,1,55.2,pct,2024-05-25T04:00:00
53,2,92.8,hPa,2024-06-26T05:00:00
54,3,30.4,C,2024-07-27T06:00:00
55,4,68.0,pct,2024-08-28T07:00:00
56,5,5.6,hPa,2024-09-01T08:00:00
57,6,43.2,C,2024-10-02T09:00:00
58,7,80.8,pct,2024-11-03T10:00:00
59,8,18.4,hPa,2024-12-04T11:00:00
60,9,56.0,C,2024-01-05T12:00:00
