2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | AgentTeam manager initialized for jiuwen_team_sess_fc2cc2ba8112, member=team_leader
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | [team_leader] TeamPolicyRail static sections: section_names=['team_role', 'team_workflow', 'team_swarmflow', 'team_lifecycle', 'team_persona']
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | Session tables ready for session sess_fc2cc2ba8112
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | Team database initialized
2026-08-23 16:45:36 | team | default_trace_id | INFO | Team workspace directory ensured at /srv/jwteam_clone/shared/run_current
2026-08-23 16:45:36 | team | default_trace_id | INFO | AgentTeam manager initialized for jiuwen_team_sess_fc2cc2ba8112, member=executor3
2026-08-23 16:45:36 | team | default_trace_id | INFO | [executor3] TeamPolicyRail static sections: section_names=['team_role', 'team_persona']
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | [executor3] invoke start, role=teammate
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | [executor3] coordination starting
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | Session tables ready for session sess_fc2cc2ba8112
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | Workspace /srv/jwteam_clone/shared/run_current initialized as plain shared directory (version_control disabled)
2026-08-23 16:45:36 | team | sess_fc2cc2ba8112 | INFO | EventBus[teammate] starting
2026-08-23 16:48:17 | team | sess_fc2cc2ba8112 | INFO | [executor3] HITT section refresh: human_agent_names=[]
2026-08-23 16:50:51 | team | sess_fc2cc2ba8112 | INFO | task list drained for team jiuwen_team_sess_fc2cc2ba8112: 5 terminal task(s)
2026-08-23 16:55:38 | team | sess_fc2cc2ba8112 | INFO | task list drained for team jiuwen_team_sess_fc2cc2ba8112: 8 terminal task(s)
2026-08-23 16:56:00 | team | sess_fc2cc2ba8112 | INFO | [executor3] processing 1 unread messages (steer=True)
2026-08-23 16:56:00 | team | sess_fc2cc2ba8112 | INFO | Message e5b111bf-a01d-49f2-a491-536952117bfc marked as read by executor3
2026-08-23 16:56:22 | team | sess_fc2cc2ba8112 | INFO | team jiuwen_team_sess_fc2cc2ba8112 reported completed: 9 members, 8 tasks
2026-08-23 16:56:22 | team | sess_fc2cc2ba8112 | INFO | [executor3] received TEAM_STANDBY, pausing polls
2026-08-23 16:56:22 | team | sess_fc2cc2ba8112 | INFO | EventBus[teammate] pausing polls
