bundle	subtask	pass	partial_score	checks_passed	checks_total	failure_modes	attestation	note
P1	cr4	False	0.94	15	16	tests_failing	extracted	
P1	spec5	True	1.0	19	19		extracted	
P2	api1	True	1.0	10	10		extracted	
P2	ir2	True	1.0	7	7		extracted	
P3	p5	False	0.93	14	15	bad_attestation	merged-as-is	
P3	test9	False	0.89	8	9	bad_attestation	merged-as-is	
P4	spec6	False	0.95	19	20	bad_attestation	merged-as-is	
P4	lh5	False	0.92	12	13	bad_attestation	merged-as-is	
P5	test9	False	0.89	8	9	bad_attestation	merged-as-is	
P5	cross3	True	1.0	10			merged-as-is	
P6	crypto1	True	1.0	10			merged-as-is	
P6	ir2	True	1.0	7	7		merged-as-is	
P7	lh5	False	0.92	12	13	bad_attestation	merged-as-is	
P7	pipe3_stream_processing	True	1.0	10			merged-as-is	
P8	spec5	True	1.0	19	19		extracted	
P8	multi4	False	0.9	9	10	bad_attestation	extracted	
P9	lh5	False	0.92	12	13	bad_attestation	merged-as-is	
P9	spec5	True	1.0	19	19		merged-as-is	
P10	test9	True	1.0	9	9		merged-as-is	
P10	ir2	True	1.0	7	7		extracted	
