timestamp	task	phase	survivor	outcome	archive
2026-08-08 21:50:54	spec5	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/spec5_s3full-20260808-215052
2026-08-08 22:00:29	lh5	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/lh5_s3full-20260808-220027
2026-08-08 22:07:55	spec6	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/spec6_s3full-20260808-220752
2026-08-08 22:14:09	test9	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/test9_s3full-20260808-221407
2026-08-08 22:25:05	p5	exec	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/p5_s3full-20260808-222503
2026-08-08 22:39:00	cr4	exec	full	TIMEOUT/NO_ATTESTATION	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/cr4_s3full-20260808-223859
2026-08-08 22:50:04	cross3	exec	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/cross3_s3full-20260808-225003
2026-08-08 23:04:00	crypto1	exec	full	TIMEOUT/NO_ATTESTATION	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/crypto1_s3full-20260808-230358
2026-08-08 23:11:05	pipe3_stream_processing	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/pipe3_stream_processing_s3full-20260808-231103
2026-08-08 23:17:20	multi4	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/multi4_s3full-20260808-231718
2026-08-08 23:22:14	ir2	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/ir2_s3full-20260808-232212
2026-08-08 23:27:59	api1	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/api1_s3full-20260808-232757
2026-08-09 05:32:40	cr4	exec	full	TIMEOUT/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/cr4_s3full-20260809-053237
2026-08-09 05:46:40	cross3	exec	full	TIMEOUT/NO_ATTESTATION	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/cross3_s3full-20260809-054636
2026-08-09 05:53:49	multi4	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro/multi4_s3full-20260809-055346
