task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
spec5	full	True	1.0	19	19		
lh5	full	False	0.92	12	13	bad_attestation	
spec6	full	False	0.85	17	20	S1_mset_fails;S2_mget_fails;bad_attestation	
test9	full	False	0.89	8	9	bad_attestation	
p5	full	False	0.93	14	15	bad_attestation	
cr4	full	False	0.94	15	16	tests_failing	
cross3	full	True	1.0	10			
crypto1	full	False	0.2	2			
pipe3_stream_processing	full	True	1.0	10			
multi4	full	False	0.9	9	10	bad_attestation	
ir2	full	True	1.0	7	7		
api1	full	True	1.0	10	10		
