timestamp	task	phase	survivor	outcome	archive
2026-08-10 00:39:10	spec5	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/spec5_s3full_arm2-20260810-003908
2026-08-10 00:45:36	lh5	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/lh5_s3full_arm2-20260810-004533
2026-08-10 00:54:25	spec6	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/spec6_s3full_arm2-20260810-005422
2026-08-10 01:02:41	test9	plan	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/test9_s3full_arm2-20260810-010238
2026-08-10 01:21:18	p5	exec	full	finished/fail	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/p5_s3full_arm2-20260810-012115
2026-08-10 01:29:53	cr4	exec	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/cr4_s3full_arm2-20260810-012951
2026-08-10 01:43:12	cross3	exec	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/cross3_s3full_arm2-20260810-014308
2026-08-10 01:54:48	crypto1	exec	full	finished/EMPTY_VERDICT	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/crypto1_s3full_arm2-20260810-015446
2026-08-10 02:04:05	pipe3_stream_processing	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/pipe3_stream_processing_s3full_arm2-20260810-020402
2026-08-10 02:16:12	multi4	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/multi4_s3full_arm2-20260810-021609
2026-08-10 02:31:49	ir2	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/ir2_s3full_arm2-20260810-023147
2026-08-10 02:45:26	api1	verify	full	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_full_enf_pro_arm2/api1_s3full_arm2-20260810-024523
