task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
spec5	full	True	1.0	19	19		
lh5	full	False	0.92	12	13	bad_attestation	
spec6	full	False	0.95	19	20	bad_attestation	
test9	full	False	0.89	8	9	bad_attestation	
p5	full	False	0.33	5	15	log_event_returns_wrong_type;log_id_not_unique_or_missing;get_log_wrong_behavior;not_all_event_types_supported;required_fields_missing;tamper_detection_field_missing;verify_log_false_positive;verify_log_tamper_not_detected;verify_log_wrong_return_type;bad_attestation	
cr4	full	True	1.0	16	16		
cross3	full	False	0.2	2			
crypto1	full	False	0.3	3			
pipe3_stream_processing	full	True	1.0	10			
multi4	full	False	0.9	9	10	bad_attestation	
ir2	full	True	1.0	7	7		
api1	full	True	1.0	10	10		
