timestamp	task	phase	survivor	outcome	archive
2026-08-08 18:06:34	spec5	plan	planner2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/spec5_s3partial-20260808-180632
2026-08-08 20:17:26	lh5	plan	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/lh5_s3partial-20260808-201723
2026-08-08 20:25:51	spec6	plan	planner2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/spec6_s3partial-20260808-202549
2026-08-08 20:31:56	test9	plan	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/test9_s3partial-20260808-203154
2026-08-08 20:45:51	p5	exec	executor2	TIMEOUT/NO_ATTESTATION	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/p5_s3partial-20260808-204549
2026-08-08 20:55:56	cr4	exec	executor3	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/cr4_s3partial-20260808-205554
2026-08-08 21:05:22	cross3	exec	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/cross3_s3partial-20260808-210520
2026-08-08 21:14:38	crypto1	exec	executor2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/crypto1_s3partial-20260808-211436
2026-08-08 21:19:43	pipe3_stream_processing	verify	verifier2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/pipe3_stream_processing_s3partial-20260808-211941
2026-08-08 21:27:50	multi4	verify	fullstack1	finished/NO_ATTESTATION	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/multi4_s3partial-20260808-212747
2026-08-08 21:32:14	ir2	verify	verifier2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/ir2_s3partial-20260808-213212
2026-08-08 21:42:00	api1	verify	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro/api1_s3partial-20260808-214157
