task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
spec5	planner2	True	1.0	19	19		
lh5	fullstack1	True	1.0	13	13		
spec6	planner2	False	0.95	19	20	bad_attestation	
test9	fullstack1	True	1.0	9	9		
p5	executor2	False	0.27	4	15	log_event_returns_wrong_type;log_id_not_unique_or_missing;get_log_wrong_behavior;not_all_event_types_supported;required_fields_missing;tamper_detection_field_missing;verify_log_false_positive;verify_log_tamper_not_detected;verify_log_wrong_return_type;pytest_fewer_than_5_passed;bad_attestation	
cr4	executor3	False	0.94	15	16	tests_failing	
cross3	fullstack1	True	1.0	10			
crypto1	executor2	True	1.0	10			
pipe3_stream_processing	verifier2	True	1.0	10			
multi4	fullstack1	False	0.9	9	10	bad_attestation	
ir2	verifier2	True	1.0	7	7		
api1	fullstack1	True	1.0	10	10		
