timestamp	task	phase	survivor	outcome	archive
2026-08-10 03:04:46	spec5	plan	planner2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/spec5_s3partial_arm2-20260810-030444
2026-08-10 03:18:03	lh5	plan	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/lh5_s3partial_arm2-20260810-031800
2026-08-10 03:25:18	spec6	plan	planner2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/spec6_s3partial_arm2-20260810-032516
2026-08-10 03:31:23	test9	plan	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/test9_s3partial_arm2-20260810-033121
2026-08-10 03:50:19	p5	exec	executor2	finished/NO_ATTESTATION	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/p5_s3partial_arm2-20260810-035018
2026-08-10 03:59:35	cr4	exec	executor3	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/cr4_s3partial_arm2-20260810-035932
2026-08-10 04:09:21	cross3	exec	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/cross3_s3partial_arm2-20260810-040918
2026-08-10 04:25:08	crypto1	exec	executor2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/crypto1_s3partial_arm2-20260810-042505
2026-08-10 04:33:54	pipe3_stream_processing	verify	verifier2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/pipe3_stream_processing_s3partial_arm2-20260810-043351
2026-08-10 04:40:41	multi4	verify	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/multi4_s3partial_arm2-20260810-044037
2026-08-10 04:46:26	ir2	verify	verifier2	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/ir2_s3partial_arm2-20260810-044624
2026-08-10 04:59:12	api1	verify	fullstack1	finished/pass	/mnt/c/Users/cz776/Downloads/Runs/S3_partial_enf_pro_arm2/api1_s3partial_arm2-20260810-045910
