task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
spec5	planner2	True	1.0	19	19		
lh5	fullstack1	False	0.92	12	13	bad_attestation	
spec6	planner2	False	0.85	17	20	S3_ttl_fails;S4_setex_fails;bad_attestation	
test9	fullstack1	False	0.89	8	9	bad_attestation	
p5	executor2	False	0.93	14	15	bad_attestation	
cr4	executor3	True	1.0	16	16		
cross3	fullstack1	True	1.0	10			
crypto1	executor2	False	0.7	7			
pipe3_stream_processing	verifier2	True	1.0	10			
multi4	fullstack1	False	0.9	9	10	bad_attestation	
ir2	verifier2	True	1.0	7	7		
api1	fullstack1	True	1.0	10	10		
