timestamp	task	dose	outcome	traces	archive
2026-08-09 22:26:52	spec5	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/spec5_s4_arm2-20260809-222650
2026-08-09 22:40:49	lh5	closed	TIMEOUT/NO_ATTESTATION	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/lh5_s4_arm2-20260809-224047
2026-08-09 22:54:48	spec6	closed	TIMEOUT/NO_ATTESTATION	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/spec6_s4_arm2-20260809-225446
2026-08-09 23:04:06	test9	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/test9_s4_arm2-20260809-230404
2026-08-09 23:19:34	p5	closed	finished/EMPTY_VERDICT	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/p5_s4_arm2-20260809-231931
2026-08-09 23:32:11	cr4	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/cr4_s4_arm2-20260809-233208
2026-08-09 23:38:59	cross3	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/cross3_s4_arm2-20260809-233855
2026-08-09 23:47:46	crypto1	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/crypto1_s4_arm2-20260809-234743
2026-08-09 23:55:03	pipe3_stream_processing	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/pipe3_stream_processing_s4_arm2-20260809-235500
2026-08-10 00:01:20	multi4	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/multi4_s4_arm2-20260810-000117
2026-08-10 00:07:36	ir2	closed	finished/pass	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/ir2_s4_arm2-20260810-000734
2026-08-10 00:14:23	api1	closed	finished/EMPTY_VERDICT	ok(9)	/mnt/c/Users/cz776/Downloads/Runs/S4_enf_pro_arm2/api1_s4_arm2-20260810-001420
