task	old_outcome	pass	partial_score	checks_passed	checks_total	failure_modes	note
spec5	finished/pass	True	1.0	19	19		
lh5	TIMEOUT/NO_ATTESTATION	False	0.92	12	13	bad_attestation	
spec6	TIMEOUT/NO_ATTESTATION	False	0.9	18	20	existing_tests_fail;bad_attestation	
test9	finished/pass	False	0.89	8	9	bad_attestation	
p5	finished/EMPTY_VERDICT	False	0.4	6	15	log_event_returns_wrong_type;log_id_not_unique_or_missing;get_log_wrong_behavior;not_all_event_types_supported;required_fields_missing;tamper_detection_field_missing;verify_log_false_positive;verify_log_tamper_not_detected;bad_attestation	
cr4	finished/pass	False	0.94	15	16	bad_attestation	
cross3	finished/pass	True	1.0	10			
crypto1	finished/pass	True	1.0	10			
pipe3_stream_processing	finished/pass	True	1.0	10			
multi4	finished/pass	False	0.9	9	10	bad_attestation	
ir2	finished/pass	True	1.0	7	7		
api1	finished/EMPTY_VERDICT	True	1.0	10	10		
